id,name,mrp,selling_price,discount_amount,image,category,description,shipping,warranty,stock,brand,sku,rating,reviews,featured,country_of_origin

1,Apple AirPods Pro 2,34999,29999,2000,https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46,Electronics,Premium wireless earbuds with active noise cancellation,0,1 Year,15,Apple,APL-APP2,4.8,542,yes,China

2,Samsung Galaxy Watch 7,45999,38999,3000,https://images.unsplash.com/photo-1523275335684-37898b6baf30,Electronics,Smart watch with fitness tracking and Bluetooth calling,0,1 Year,8,Samsung,SAM-GW7,4.7,213,yes,Vietnam

3,Anker 20000mAh Power Bank,6999,4999,500,https://images.unsplash.com/photo-1609592806596-b43d65c4a9e0,Accessories,Fast charging power bank with USB-C PD support,100,6 Months,22,Anker,ANK-PB20,4.6,185,no,China

4,Logitech MX Master 3S,14999,11999,1000,https://images.unsplash.com/photo-1527814050087-3793815479db,Electronics,Professional wireless productivity mouse,0,1 Year,10,Logitech,LOG-MX3S,4.9,378,yes,China

5,JBL Flip 6 Speaker,16999,12999,1500,https://images.unsplash.com/photo-1589003077984-894e133dabab,Electronics,Portable waterproof Bluetooth speaker,0,1 Year,6,JBL,JBL-FLIP6,4.7,297,no,China

6,SanDisk Extreme 1TB SSD,19999,14999,2000,https://images.unsplash.com/photo-1591488320449-011701bb6704,Electronics,High-speed portable SSD storage,0,3 Years,12,SanDisk,SDK-SSD1TB,4.8,168,yes,Malaysia

7,Boat Rockerz 450,3999,2499,200,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,Electronics,Wireless over-ear headphones with deep bass,0,1 Year,30,Boat,BOT-R450,4.3,941,no,India

8,Mi 33W Fast Charger,1499,999,100,https://images.unsplash.com/photo-1583394838336-acd977736f90,Accessories,USB-C fast charger with 33W output,50,6 Months,45,Xiaomi,MI-33W,4.4,302,no,China
